number,text,numberInSurah,surah_number,surah_name,englishName,englishNameTranslation,revelationType,UrduTranslation,UrduTafseer,EnglishTranslation,Englishtafseer,SindhiTranslation,SindhiTafseer,HindiTranslation,HindiTafseer,PushtoTransation,PushtoTafseer
5651,ٱنطَلِقُوٓا۟ إِلَىٰ مَا كُنتُم بِهِۦ تُكَذِّبُونَ,29,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-29- Urdu Translation: ,77-29- Urdu Tafseer: ,77-29- English Translation: ,77-29- English Tafseer: ,77-29- Sindhi Translation: ,77-29- Sindhi Tafseer:,77-29- Hindi Translation: ,77-29- Hindi Tafseer: ,77-29- Pushto Translation: ,77-29- Pushto Tafseer: 
5652,ٱنطَلِقُوٓا۟ إِلَىٰ ظِلٍّۢ ذِى ثَلَٰثِ شُعَبٍۢ,30,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-30- Urdu Translation: ,77-30- Urdu Tafseer: ,77-30- English Translation: ,77-30- English Tafseer: ,77-30- Sindhi Translation: ,77-30- Sindhi Tafseer:,77-30- Hindi Translation: ,77-30- Hindi Tafseer: ,77-30- Pushto Translation: ,77-30- Pushto Tafseer: 
5653,لَّا ظَلِيلٍۢ وَلَا يُغْنِى مِنَ ٱللَّهَبِ,31,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-31- Urdu Translation: ,77-31- Urdu Tafseer: ,77-31- English Translation: ,77-31- English Tafseer: ,77-31- Sindhi Translation: ,77-31- Sindhi Tafseer:,77-31- Hindi Translation: ,77-31- Hindi Tafseer: ,77-31- Pushto Translation: ,77-31- Pushto Tafseer: 
5654,إِنَّهَا تَرْمِى بِشَرَرٍۢ كَٱلْقَصْرِ,32,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-32- Urdu Translation: ,77-32- Urdu Tafseer: ,77-32- English Translation: ,77-32- English Tafseer: ,77-32- Sindhi Translation: ,77-32- Sindhi Tafseer:,77-32- Hindi Translation: ,77-32- Hindi Tafseer: ,77-32- Pushto Translation: ,77-32- Pushto Tafseer: 
5655,كَأَنَّهُۥ جِمَٰلَتٌۭ صُفْرٌۭ,33,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-33- Urdu Translation: ,77-33- Urdu Tafseer: ,77-33- English Translation: ,77-33- English Tafseer: ,77-33- Sindhi Translation: ,77-33- Sindhi Tafseer:,77-33- Hindi Translation: ,77-33- Hindi Tafseer: ,77-33- Pushto Translation: ,77-33- Pushto Tafseer: 
5656,وَيْلٌۭ يَوْمَئِذٍۢ لِّلْمُكَذِّبِينَ,34,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-34- Urdu Translation: ,77-34- Urdu Tafseer: ,77-34- English Translation: ,77-34- English Tafseer: ,77-34- Sindhi Translation: ,77-34- Sindhi Tafseer:,77-34- Hindi Translation: ,77-34- Hindi Tafseer: ,77-34- Pushto Translation: ,77-34- Pushto Tafseer: 
5657,هَٰذَا يَوْمُ لَا يَنطِقُونَ,35,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-35- Urdu Translation: ,77-35- Urdu Tafseer: ,77-35- English Translation: ,77-35- English Tafseer: ,77-35- Sindhi Translation: ,77-35- Sindhi Tafseer:,77-35- Hindi Translation: ,77-35- Hindi Tafseer: ,77-35- Pushto Translation: ,77-35- Pushto Tafseer: 
5658,وَلَا يُؤْذَنُ لَهُمْ فَيَعْتَذِرُونَ,36,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-36- Urdu Translation: ,77-36- Urdu Tafseer: ,77-36- English Translation: ,77-36- English Tafseer: ,77-36- Sindhi Translation: ,77-36- Sindhi Tafseer:,77-36- Hindi Translation: ,77-36- Hindi Tafseer: ,77-36- Pushto Translation: ,77-36- Pushto Tafseer: 
5659,وَيْلٌۭ يَوْمَئِذٍۢ لِّلْمُكَذِّبِينَ,37,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-37- Urdu Translation: ,77-37- Urdu Tafseer: ,77-37- English Translation: ,77-37- English Tafseer: ,77-37- Sindhi Translation: ,77-37- Sindhi Tafseer:,77-37- Hindi Translation: ,77-37- Hindi Tafseer: ,77-37- Pushto Translation: ,77-37- Pushto Tafseer: 
5660,هَٰذَا يَوْمُ ٱلْفَصْلِ ۖ جَمَعْنَٰكُمْ وَٱلْأَوَّلِينَ,38,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-38- Urdu Translation: ,77-38- Urdu Tafseer: ,77-38- English Translation: ,77-38- English Tafseer: ,77-38- Sindhi Translation: ,77-38- Sindhi Tafseer:,77-38- Hindi Translation: ,77-38- Hindi Tafseer: ,77-38- Pushto Translation: ,77-38- Pushto Tafseer: 
5661,فَإِن كَانَ لَكُمْ كَيْدٌۭ فَكِيدُونِ,39,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-39- Urdu Translation: ,77-39- Urdu Tafseer: ,77-39- English Translation: ,77-39- English Tafseer: ,77-39- Sindhi Translation: ,77-39- Sindhi Tafseer:,77-39- Hindi Translation: ,77-39- Hindi Tafseer: ,77-39- Pushto Translation: ,77-39- Pushto Tafseer: 
5662,وَيْلٌۭ يَوْمَئِذٍۢ لِّلْمُكَذِّبِينَ,40,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-40- Urdu Translation: ,77-40- Urdu Tafseer: ,77-40- English Translation: ,77-40- English Tafseer: ,77-40- Sindhi Translation: ,77-40- Sindhi Tafseer:,77-40- Hindi Translation: ,77-40- Hindi Tafseer: ,77-40- Pushto Translation: ,77-40- Pushto Tafseer: 
5663,إِنَّ ٱلْمُتَّقِينَ فِى ظِلَٰلٍۢ وَعُيُونٍۢ,41,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-41- Urdu Translation: ,77-41- Urdu Tafseer: ,77-41- English Translation: ,77-41- English Tafseer: ,77-41- Sindhi Translation: ,77-41- Sindhi Tafseer:,77-41- Hindi Translation: ,77-41- Hindi Tafseer: ,77-41- Pushto Translation: ,77-41- Pushto Tafseer: 
5664,وَفَوَٰكِهَ مِمَّا يَشْتَهُونَ,42,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-42- Urdu Translation: ,77-42- Urdu Tafseer: ,77-42- English Translation: ,77-42- English Tafseer: ,77-42- Sindhi Translation: ,77-42- Sindhi Tafseer:,77-42- Hindi Translation: ,77-42- Hindi Tafseer: ,77-42- Pushto Translation: ,77-42- Pushto Tafseer: 
5665,كُلُوا۟ وَٱشْرَبُوا۟ هَنِيٓـًٔۢا بِمَا كُنتُمْ تَعْمَلُونَ,43,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-43- Urdu Translation: ,77-43- Urdu Tafseer: ,77-43- English Translation: ,77-43- English Tafseer: ,77-43- Sindhi Translation: ,77-43- Sindhi Tafseer:,77-43- Hindi Translation: ,77-43- Hindi Tafseer: ,77-43- Pushto Translation: ,77-43- Pushto Tafseer: 
5666,إِنَّا كَذَٰلِكَ نَجْزِى ٱلْمُحْسِنِينَ,44,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-44- Urdu Translation: ,77-44- Urdu Tafseer: ,77-44- English Translation: ,77-44- English Tafseer: ,77-44- Sindhi Translation: ,77-44- Sindhi Tafseer:,77-44- Hindi Translation: ,77-44- Hindi Tafseer: ,77-44- Pushto Translation: ,77-44- Pushto Tafseer: 
5667,وَيْلٌۭ يَوْمَئِذٍۢ لِّلْمُكَذِّبِينَ,45,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-45- Urdu Translation: ,77-45- Urdu Tafseer: ,77-45- English Translation: ,77-45- English Tafseer: ,77-45- Sindhi Translation: ,77-45- Sindhi Tafseer:,77-45- Hindi Translation: ,77-45- Hindi Tafseer: ,77-45- Pushto Translation: ,77-45- Pushto Tafseer: 
5668,كُلُوا۟ وَتَمَتَّعُوا۟ قَلِيلًا إِنَّكُم مُّجْرِمُونَ,46,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-46- Urdu Translation: ,77-46- Urdu Tafseer: ,77-46- English Translation: ,77-46- English Tafseer: ,77-46- Sindhi Translation: ,77-46- Sindhi Tafseer:,77-46- Hindi Translation: ,77-46- Hindi Tafseer: ,77-46- Pushto Translation: ,77-46- Pushto Tafseer: 
5669,وَيْلٌۭ يَوْمَئِذٍۢ لِّلْمُكَذِّبِينَ,47,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-47- Urdu Translation: ,77-47- Urdu Tafseer: ,77-47- English Translation: ,77-47- English Tafseer: ,77-47- Sindhi Translation: ,77-47- Sindhi Tafseer:,77-47- Hindi Translation: ,77-47- Hindi Tafseer: ,77-47- Pushto Translation: ,77-47- Pushto Tafseer: 
5670,وَإِذَا قِيلَ لَهُمُ ٱرْكَعُوا۟ لَا يَرْكَعُونَ,48,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-48- Urdu Translation: ,77-48- Urdu Tafseer: ,77-48- English Translation: ,77-48- English Tafseer: ,77-48- Sindhi Translation: ,77-48- Sindhi Tafseer:,77-48- Hindi Translation: ,77-48- Hindi Tafseer: ,77-48- Pushto Translation: ,77-48- Pushto Tafseer: 
5671,وَيْلٌۭ يَوْمَئِذٍۢ لِّلْمُكَذِّبِينَ,49,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-49- Urdu Translation: ,77-49- Urdu Tafseer: ,77-49- English Translation: ,77-49- English Tafseer: ,77-49- Sindhi Translation: ,77-49- Sindhi Tafseer:,77-49- Hindi Translation: ,77-49- Hindi Tafseer: ,77-49- Pushto Translation: ,77-49- Pushto Tafseer: 
5672,فَبِأَىِّ حَدِيثٍۭ بَعْدَهُۥ يُؤْمِنُونَ,50,77,سُورَةُ المُرۡسَلَاتِ,Al-Mursalaat,The Emissaries,Meccan,77-50- Urdu Translation: ,77-50- Urdu Tafseer: ,77-50- English Translation: ,77-50- English Tafseer: ,77-50- Sindhi Translation: ,77-50- Sindhi Tafseer:,77-50- Hindi Translation: ,77-50- Hindi Tafseer: ,77-50- Pushto Translation: ,77-50- Pushto Tafseer: 
5673,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ عَمَّ يَتَسَآءَلُونَ,1,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-1- Urdu Translation: ,78-1- Urdu Tafseer: ,78-1- English Translation: ,78-1- English Tafseer: ,78-1- Sindhi Translation: ,78-1- Sindhi Tafseer:,78-1- Hindi Translation: ,78-1- Hindi Tafseer: ,78-1- Pushto Translation: ,78-1- Pushto Tafseer: 
5674,عَنِ ٱلنَّبَإِ ٱلْعَظِيمِ,2,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-2- Urdu Translation: ,78-2- Urdu Tafseer: ,78-2- English Translation: ,78-2- English Tafseer: ,78-2- Sindhi Translation: ,78-2- Sindhi Tafseer:,78-2- Hindi Translation: ,78-2- Hindi Tafseer: ,78-2- Pushto Translation: ,78-2- Pushto Tafseer: 
5675,ٱلَّذِى هُمْ فِيهِ مُخْتَلِفُونَ,3,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-3- Urdu Translation: ,78-3- Urdu Tafseer: ,78-3- English Translation: ,78-3- English Tafseer: ,78-3- Sindhi Translation: ,78-3- Sindhi Tafseer:,78-3- Hindi Translation: ,78-3- Hindi Tafseer: ,78-3- Pushto Translation: ,78-3- Pushto Tafseer: 
5676,كَلَّا سَيَعْلَمُونَ,4,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-4- Urdu Translation: ,78-4- Urdu Tafseer: ,78-4- English Translation: ,78-4- English Tafseer: ,78-4- Sindhi Translation: ,78-4- Sindhi Tafseer:,78-4- Hindi Translation: ,78-4- Hindi Tafseer: ,78-4- Pushto Translation: ,78-4- Pushto Tafseer: 
5677,ثُمَّ كَلَّا سَيَعْلَمُونَ,5,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-5- Urdu Translation: ,78-5- Urdu Tafseer: ,78-5- English Translation: ,78-5- English Tafseer: ,78-5- Sindhi Translation: ,78-5- Sindhi Tafseer:,78-5- Hindi Translation: ,78-5- Hindi Tafseer: ,78-5- Pushto Translation: ,78-5- Pushto Tafseer: 
5678,أَلَمْ نَجْعَلِ ٱلْأَرْضَ مِهَٰدًۭا,6,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-6- Urdu Translation: ,78-6- Urdu Tafseer: ,78-6- English Translation: ,78-6- English Tafseer: ,78-6- Sindhi Translation: ,78-6- Sindhi Tafseer:,78-6- Hindi Translation: ,78-6- Hindi Tafseer: ,78-6- Pushto Translation: ,78-6- Pushto Tafseer: 
5679,وَٱلْجِبَالَ أَوْتَادًۭا,7,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-7- Urdu Translation: ,78-7- Urdu Tafseer: ,78-7- English Translation: ,78-7- English Tafseer: ,78-7- Sindhi Translation: ,78-7- Sindhi Tafseer:,78-7- Hindi Translation: ,78-7- Hindi Tafseer: ,78-7- Pushto Translation: ,78-7- Pushto Tafseer: 
5680,وَخَلَقْنَٰكُمْ أَزْوَٰجًۭا,8,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-8- Urdu Translation: ,78-8- Urdu Tafseer: ,78-8- English Translation: ,78-8- English Tafseer: ,78-8- Sindhi Translation: ,78-8- Sindhi Tafseer:,78-8- Hindi Translation: ,78-8- Hindi Tafseer: ,78-8- Pushto Translation: ,78-8- Pushto Tafseer: 
5681,وَجَعَلْنَا نَوْمَكُمْ سُبَاتًۭا,9,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-9- Urdu Translation: ,78-9- Urdu Tafseer: ,78-9- English Translation: ,78-9- English Tafseer: ,78-9- Sindhi Translation: ,78-9- Sindhi Tafseer:,78-9- Hindi Translation: ,78-9- Hindi Tafseer: ,78-9- Pushto Translation: ,78-9- Pushto Tafseer: 
5682,وَجَعَلْنَا ٱلَّيْلَ لِبَاسًۭا,10,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-10- Urdu Translation: ,78-10- Urdu Tafseer: ,78-10- English Translation: ,78-10- English Tafseer: ,78-10- Sindhi Translation: ,78-10- Sindhi Tafseer:,78-10- Hindi Translation: ,78-10- Hindi Tafseer: ,78-10- Pushto Translation: ,78-10- Pushto Tafseer: 
5683,وَجَعَلْنَا ٱلنَّهَارَ مَعَاشًۭا,11,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-11- Urdu Translation: ,78-11- Urdu Tafseer: ,78-11- English Translation: ,78-11- English Tafseer: ,78-11- Sindhi Translation: ,78-11- Sindhi Tafseer:,78-11- Hindi Translation: ,78-11- Hindi Tafseer: ,78-11- Pushto Translation: ,78-11- Pushto Tafseer: 
5684,وَبَنَيْنَا فَوْقَكُمْ سَبْعًۭا شِدَادًۭا,12,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-12- Urdu Translation: ,78-12- Urdu Tafseer: ,78-12- English Translation: ,78-12- English Tafseer: ,78-12- Sindhi Translation: ,78-12- Sindhi Tafseer:,78-12- Hindi Translation: ,78-12- Hindi Tafseer: ,78-12- Pushto Translation: ,78-12- Pushto Tafseer: 
5685,وَجَعَلْنَا سِرَاجًۭا وَهَّاجًۭا,13,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-13- Urdu Translation: ,78-13- Urdu Tafseer: ,78-13- English Translation: ,78-13- English Tafseer: ,78-13- Sindhi Translation: ,78-13- Sindhi Tafseer:,78-13- Hindi Translation: ,78-13- Hindi Tafseer: ,78-13- Pushto Translation: ,78-13- Pushto Tafseer: 
5686,وَأَنزَلْنَا مِنَ ٱلْمُعْصِرَٰتِ مَآءًۭ ثَجَّاجًۭا,14,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-14- Urdu Translation: ,78-14- Urdu Tafseer: ,78-14- English Translation: ,78-14- English Tafseer: ,78-14- Sindhi Translation: ,78-14- Sindhi Tafseer:,78-14- Hindi Translation: ,78-14- Hindi Tafseer: ,78-14- Pushto Translation: ,78-14- Pushto Tafseer: 
5687,لِّنُخْرِجَ بِهِۦ حَبًّۭا وَنَبَاتًۭا,15,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-15- Urdu Translation: ,78-15- Urdu Tafseer: ,78-15- English Translation: ,78-15- English Tafseer: ,78-15- Sindhi Translation: ,78-15- Sindhi Tafseer:,78-15- Hindi Translation: ,78-15- Hindi Tafseer: ,78-15- Pushto Translation: ,78-15- Pushto Tafseer: 
5688,وَجَنَّٰتٍ أَلْفَافًا,16,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-16- Urdu Translation: ,78-16- Urdu Tafseer: ,78-16- English Translation: ,78-16- English Tafseer: ,78-16- Sindhi Translation: ,78-16- Sindhi Tafseer:,78-16- Hindi Translation: ,78-16- Hindi Tafseer: ,78-16- Pushto Translation: ,78-16- Pushto Tafseer: 
5689,إِنَّ يَوْمَ ٱلْفَصْلِ كَانَ مِيقَٰتًۭا,17,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-17- Urdu Translation: ,78-17- Urdu Tafseer: ,78-17- English Translation: ,78-17- English Tafseer: ,78-17- Sindhi Translation: ,78-17- Sindhi Tafseer:,78-17- Hindi Translation: ,78-17- Hindi Tafseer: ,78-17- Pushto Translation: ,78-17- Pushto Tafseer: 
5690,يَوْمَ يُنفَخُ فِى ٱلصُّورِ فَتَأْتُونَ أَفْوَاجًۭا,18,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-18- Urdu Translation: ,78-18- Urdu Tafseer: ,78-18- English Translation: ,78-18- English Tafseer: ,78-18- Sindhi Translation: ,78-18- Sindhi Tafseer:,78-18- Hindi Translation: ,78-18- Hindi Tafseer: ,78-18- Pushto Translation: ,78-18- Pushto Tafseer: 
5691,وَفُتِحَتِ ٱلسَّمَآءُ فَكَانَتْ أَبْوَٰبًۭا,19,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-19- Urdu Translation: ,78-19- Urdu Tafseer: ,78-19- English Translation: ,78-19- English Tafseer: ,78-19- Sindhi Translation: ,78-19- Sindhi Tafseer:,78-19- Hindi Translation: ,78-19- Hindi Tafseer: ,78-19- Pushto Translation: ,78-19- Pushto Tafseer: 
5692,وَسُيِّرَتِ ٱلْجِبَالُ فَكَانَتْ سَرَابًا,20,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-20- Urdu Translation: ,78-20- Urdu Tafseer: ,78-20- English Translation: ,78-20- English Tafseer: ,78-20- Sindhi Translation: ,78-20- Sindhi Tafseer:,78-20- Hindi Translation: ,78-20- Hindi Tafseer: ,78-20- Pushto Translation: ,78-20- Pushto Tafseer: 
5693,إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًۭا,21,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-21- Urdu Translation: ,78-21- Urdu Tafseer: ,78-21- English Translation: ,78-21- English Tafseer: ,78-21- Sindhi Translation: ,78-21- Sindhi Tafseer:,78-21- Hindi Translation: ,78-21- Hindi Tafseer: ,78-21- Pushto Translation: ,78-21- Pushto Tafseer: 
5694,لِّلطَّٰغِينَ مَـَٔابًۭا,22,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-22- Urdu Translation: ,78-22- Urdu Tafseer: ,78-22- English Translation: ,78-22- English Tafseer: ,78-22- Sindhi Translation: ,78-22- Sindhi Tafseer:,78-22- Hindi Translation: ,78-22- Hindi Tafseer: ,78-22- Pushto Translation: ,78-22- Pushto Tafseer: 
5695,لَّٰبِثِينَ فِيهَآ أَحْقَابًۭا,23,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-23- Urdu Translation: ,78-23- Urdu Tafseer: ,78-23- English Translation: ,78-23- English Tafseer: ,78-23- Sindhi Translation: ,78-23- Sindhi Tafseer:,78-23- Hindi Translation: ,78-23- Hindi Tafseer: ,78-23- Pushto Translation: ,78-23- Pushto Tafseer: 
5696,لَّا يَذُوقُونَ فِيهَا بَرْدًۭا وَلَا شَرَابًا,24,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-24- Urdu Translation: ,78-24- Urdu Tafseer: ,78-24- English Translation: ,78-24- English Tafseer: ,78-24- Sindhi Translation: ,78-24- Sindhi Tafseer:,78-24- Hindi Translation: ,78-24- Hindi Tafseer: ,78-24- Pushto Translation: ,78-24- Pushto Tafseer: 
5697,إِلَّا حَمِيمًۭا وَغَسَّاقًۭا,25,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-25- Urdu Translation: ,78-25- Urdu Tafseer: ,78-25- English Translation: ,78-25- English Tafseer: ,78-25- Sindhi Translation: ,78-25- Sindhi Tafseer:,78-25- Hindi Translation: ,78-25- Hindi Tafseer: ,78-25- Pushto Translation: ,78-25- Pushto Tafseer: 
5698,جَزَآءًۭ وِفَاقًا,26,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-26- Urdu Translation: ,78-26- Urdu Tafseer: ,78-26- English Translation: ,78-26- English Tafseer: ,78-26- Sindhi Translation: ,78-26- Sindhi Tafseer:,78-26- Hindi Translation: ,78-26- Hindi Tafseer: ,78-26- Pushto Translation: ,78-26- Pushto Tafseer: 
5699,إِنَّهُمْ كَانُوا۟ لَا يَرْجُونَ حِسَابًۭا,27,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-27- Urdu Translation: ,78-27- Urdu Tafseer: ,78-27- English Translation: ,78-27- English Tafseer: ,78-27- Sindhi Translation: ,78-27- Sindhi Tafseer:,78-27- Hindi Translation: ,78-27- Hindi Tafseer: ,78-27- Pushto Translation: ,78-27- Pushto Tafseer: 
5700,وَكَذَّبُوا۟ بِـَٔايَٰتِنَا كِذَّابًۭا,28,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-28- Urdu Translation: ,78-28- Urdu Tafseer: ,78-28- English Translation: ,78-28- English Tafseer: ,78-28- Sindhi Translation: ,78-28- Sindhi Tafseer:,78-28- Hindi Translation: ,78-28- Hindi Tafseer: ,78-28- Pushto Translation: ,78-28- Pushto Tafseer: 
5701,وَكُلَّ شَىْءٍ أَحْصَيْنَٰهُ كِتَٰبًۭا,29,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-29- Urdu Translation: ,78-29- Urdu Tafseer: ,78-29- English Translation: ,78-29- English Tafseer: ,78-29- Sindhi Translation: ,78-29- Sindhi Tafseer:,78-29- Hindi Translation: ,78-29- Hindi Tafseer: ,78-29- Pushto Translation: ,78-29- Pushto Tafseer: 
5702,فَذُوقُوا۟ فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا,30,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-30- Urdu Translation: ,78-30- Urdu Tafseer: ,78-30- English Translation: ,78-30- English Tafseer: ,78-30- Sindhi Translation: ,78-30- Sindhi Tafseer:,78-30- Hindi Translation: ,78-30- Hindi Tafseer: ,78-30- Pushto Translation: ,78-30- Pushto Tafseer: 
5703,إِنَّ لِلْمُتَّقِينَ مَفَازًا,31,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-31- Urdu Translation: ,78-31- Urdu Tafseer: ,78-31- English Translation: ,78-31- English Tafseer: ,78-31- Sindhi Translation: ,78-31- Sindhi Tafseer:,78-31- Hindi Translation: ,78-31- Hindi Tafseer: ,78-31- Pushto Translation: ,78-31- Pushto Tafseer: 
5704,حَدَآئِقَ وَأَعْنَٰبًۭا,32,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-32- Urdu Translation: ,78-32- Urdu Tafseer: ,78-32- English Translation: ,78-32- English Tafseer: ,78-32- Sindhi Translation: ,78-32- Sindhi Tafseer:,78-32- Hindi Translation: ,78-32- Hindi Tafseer: ,78-32- Pushto Translation: ,78-32- Pushto Tafseer: 
5705,وَكَوَاعِبَ أَتْرَابًۭا,33,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-33- Urdu Translation: ,78-33- Urdu Tafseer: ,78-33- English Translation: ,78-33- English Tafseer: ,78-33- Sindhi Translation: ,78-33- Sindhi Tafseer:,78-33- Hindi Translation: ,78-33- Hindi Tafseer: ,78-33- Pushto Translation: ,78-33- Pushto Tafseer: 
5706,وَكَأْسًۭا دِهَاقًۭا,34,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-34- Urdu Translation: ,78-34- Urdu Tafseer: ,78-34- English Translation: ,78-34- English Tafseer: ,78-34- Sindhi Translation: ,78-34- Sindhi Tafseer:,78-34- Hindi Translation: ,78-34- Hindi Tafseer: ,78-34- Pushto Translation: ,78-34- Pushto Tafseer: 
5707,لَّا يَسْمَعُونَ فِيهَا لَغْوًۭا وَلَا كِذَّٰبًۭا,35,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-35- Urdu Translation: ,78-35- Urdu Tafseer: ,78-35- English Translation: ,78-35- English Tafseer: ,78-35- Sindhi Translation: ,78-35- Sindhi Tafseer:,78-35- Hindi Translation: ,78-35- Hindi Tafseer: ,78-35- Pushto Translation: ,78-35- Pushto Tafseer: 
5708,جَزَآءًۭ مِّن رَّبِّكَ عَطَآءً حِسَابًۭا,36,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-36- Urdu Translation: ,78-36- Urdu Tafseer: ,78-36- English Translation: ,78-36- English Tafseer: ,78-36- Sindhi Translation: ,78-36- Sindhi Tafseer:,78-36- Hindi Translation: ,78-36- Hindi Tafseer: ,78-36- Pushto Translation: ,78-36- Pushto Tafseer: 
5709,رَّبِّ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ وَمَا بَيْنَهُمَا ٱلرَّحْمَٰنِ ۖ لَا يَمْلِكُونَ مِنْهُ خِطَابًۭا,37,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-37- Urdu Translation: ,78-37- Urdu Tafseer: ,78-37- English Translation: ,78-37- English Tafseer: ,78-37- Sindhi Translation: ,78-37- Sindhi Tafseer:,78-37- Hindi Translation: ,78-37- Hindi Tafseer: ,78-37- Pushto Translation: ,78-37- Pushto Tafseer: 
5710,يَوْمَ يَقُومُ ٱلرُّوحُ وَٱلْمَلَٰٓئِكَةُ صَفًّۭا ۖ لَّا يَتَكَلَّمُونَ إِلَّا مَنْ أَذِنَ لَهُ ٱلرَّحْمَٰنُ وَقَالَ صَوَابًۭا,38,78,سُورَةُ النَّبَإِ,An-Naba,The Announcement,Meccan,78-38- Urdu Translation: ,78-38- Urdu Tafseer: ,78-38- English Translation: ,78-38- English Tafseer: ,78-38- Sindhi Translation: ,78-38- Sindhi Tafseer:,78-38- Hindi Translation: ,78-38- Hindi Tafseer: ,78-38- Pushto Translation: ,78-38- Pushto Tafseer: 
